Цена(RUB),Цена(USD),Цена(BYN),Бренд,Дней,Откуда-куда,Когда,Длител1,Длител2,Ссылка,Время проверки,История цен(USD)
51422,666,2056,GulfAir,29,Москва-Бангкок,1окт-30окт,20ч40м,18ч35м,https://www.aviasales.ru/search/MOW0110BKK30101 ,2023-05-13 10:32:48,666<-676<-690<-
51422,666,2056,GulfAir,28,Москва-Бангкок,1окт-29окт,20ч40м,18ч35м,https://www.aviasales.ru/search/MOW0110BKK29101 ,2023-05-13 10:33:16,666<-685<-690<-
51590,668,2063,GulfAir,27,Москва-Бангкок,1окт-28окт,20ч40м,15ч25м,https://www.aviasales.ru/search/MOW0110BKK28101 ,2023-05-13 10:33:41,668<-676<-690<-
51972,673,2078,GulfAir,30,Москва-Бангкок,2окт-1ноя,1д2ч40м,1д2ч05м,https://www.aviasales.ru/search/MOW0210BKK01111 ,2023-05-13 10:34:07,673<-684<-
51972,673,2078,GulfAir,29,Москва-Бангкок,2окт-31окт,1д2ч40м,19ч05м,https://www.aviasales.ru/search/MOW0210BKK31101 ,2023-05-13 10:34:33,673<-683<-697<-
51972,673,2078,GulfAir,28,Москва-Бангкок,2окт-30окт,1д2ч40м,18ч35м,https://www.aviasales.ru/search/MOW0210BKK30101 ,2023-05-13 10:35:01,673<-692<-697<-
51972,673,2078,GulfAir,27,Москва-Бангкок,2окт-29окт,1д2ч40м,18ч35м,https://www.aviasales.ru/search/MOW0210BKK29101 ,2023-05-13 10:35:26,673<-683<-697<-
51422,666,2056,GulfAir,30,Москва-Бангкок,3окт-2ноя,20ч40м,14ч,https://www.aviasales.ru/search/MOW0310BKK02111 ,2023-05-13 10:35:52,666<-685<-690<-
51507,667,2060,GulfAir,29,Москва-Бангкок,3окт-1ноя,20ч40м,1д2ч05м,https://www.aviasales.ru/search/MOW0310BKK01111 ,2023-05-13 10:36:18,667<-677<-
51422,666,2056,GulfAir,28,Москва-Бангкок,3окт-31окт,20ч40м,19ч05м,https://www.aviasales.ru/search/MOW0310BKK31101 ,2023-05-13 10:36:43,666<-676<-690<-
51422,666,2056,GulfAir,27,Москва-Бангкок,3окт-30окт,20ч40м,18ч35м,https://www.aviasales.ru/search/MOW0310BKK30101 ,2023-05-13 10:37:11,666<-676<-708<-
51972,673,2078,GulfAir,30,Москва-Бангкок,4окт-3ноя,1д2ч40м,1д2ч05м,https://www.aviasales.ru/search/MOW0410BKK03111 ,2023-05-13 10:37:36,673<-694<-699<-
51972,673,2078,GulfAir,29,Москва-Бангкок,4окт-2ноя,1д2ч40м,14ч,https://www.aviasales.ru/search/MOW0410BKK02111 ,2023-05-13 10:38:02,673<-683<-706<-
